Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Funicular,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Sunkid Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Aerial tramway/reversible ropeway,Rope tow/beginner lift,People mover,Combined installation (gondola and chair),Cog railway,Helicopter for Heli-skiing,Snow caterpillars for Cat-skiing
3-5-pigadia-naoussa,Europe,Greece,Central Macedonia,http://www.skiresort.info/ski-resort/3-5-pigadia-naoussa/,2005.0,4.0,3.0,2.0,,,0.0,0.0,,15,13,9,European Euro,2.1,2.4,2.5,,,,,,,,,,,,,,,,,0.0,,,,,
4-vallees-verbierla-tzoumaznendazveysonnazthyon,Europe,Switzerland,Lemanic Region,http://www.skiresort.info/ski-resort/4-vallees-verbierla-tzoumaznendazveysonnazthyon/,3330.0,107.0,202.0,103.0,,0.0,0.0,0.0,0.0,75,64,38,Swiss Franc,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,,0.0,
49-degrees-north-mountain-resort,North America,USA,Washington State,http://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,1760.0,20.0,27.0,21.0,,,0.0,,,58,0,48,US Dollar,3.5,3.9,3.0,,,,,,,,,,,,,,,,,0.0,,,,,
aadneram-skitrekk,Europe,Norway,Vest-Agder,http://www.skiresort.info/ski-resort/aadneram-skitrekk/,680.0,3.5,0.5,0.0,,,,,,350,0,280,Norwegian krone,,,,,,,,,,,,,,,,,,,,,,,,,
aal-skisenter,Europe,Norway,Buskerud,http://www.skiresort.info/ski-resort/aal-skisenter/,1040.0,5.0,2.0,2.5,,,,0.0,,370,0,280,Norwegian krone,2.0,2.3,1.5,,,,,,,,,,,,,,,,,,,,,,
aalen-skisenter,Europe,Norway,Sor-Trondelag,http://www.skiresort.info/ski-resort/aalen-skisenter/,726.0,5.0,2.0,1.0,,,,,,350,0,285,Norwegian krone,,,,,,,,,,,,,,,,,,,,,,,,,
aamaals-skicenter,Europe,Sweden,South Sweden (Sydsverige),http://www.skiresort.info/ski-resort/aamaals-skicenter/,270.0,1.5,0.5,0.0,,,,,,220,190,150,Swedish krona,,,,,,,,,,,,,,,,,,,,,,,,,
aare,Europe,Sweden,Northern Sweden (Norrland),http://www.skiresort.info/ski-resort/aare/,1274.0,45.0,38.0,8.0,0.0,0.0,0.0,0.0,,465,0,370,Swedish krona,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,0.0,,0.0,0.0,,0.0,
aarjaeng,Europe,Sweden,Central Sweden,http://www.skiresort.info/ski-resort/aarjaeng/,280.0,1.0,0.0,0.0,,,,,,100,0,80,Swedish krona,,,,,,,,,,,,,,,,,,,,,,,,,
aavasaksa,Europe,Finland,Northern Finland,http://www.skiresort.info/ski-resort/aavasaksa/,220.0,1.5,0.5,0.0,,,,0.0,,10,0,0,European Euro,1.3,1.3,1.5,,,,,,,,,,,,,,,,,,,,,,
ab-ali,Asia,Iran,,http://www.skiresort.info/ski-resort/ab-ali/,2650.0,2.0,2.0,0.0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
abali-van,Asia,Turkey,Eastern Anatolia,http://www.skiresort.info/ski-resort/abali-van/,2432.0,5.5,2.0,1.2,,,0.0,0.0,,0,0,0,-,2.0,2.3,2.7,,,,,,,,,,,,,,,,,,,,,,
abashiri-lake-view-resort,Asia,Japan,Hokkaido,http://www.skiresort.info/ski-resort/abashiri-lake-view-resort/,205.0,2.0,4.0,1.0,,,,,,2940,0,1680,Japanese Yen,,,,,,,,,,,,,,,,,,,,,,,,,
abchasien,Europe,Russia,,http://www.skiresort.info/ski-resort/abchasien/,3200.0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,0.0,
abenaki,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/abenaki/,250.0,0.5,0.3,0.2,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen-heli-prince-george,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/aberdeen-heli-prince-george/,0.0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,0.0,
aberdeen-snowsports-centre,Europe,United Kingdom,Scotland,http://www.skiresort.info/ski-resort/aberdeen-snowsports-centre/,23.0,0.3,0.1,0.1,,,,,,14,0,10,UK Pound,,,,,,,,,,,,,,,,,,,,,,,,,
abetoneval-di-luce,Europe,Italy,Tuscany (Toscana),http://www.skiresort.info/ski-resort/abetoneval-di-luce/,1892.0,14.2,28.6,1.3,,0.0,0.0,0.0,,31,25,14,European Euro,3.0,3.2,3.7,,,,,,,,,,,,,,,,,,0.0,,,,
abisko,Europe,Sweden,Northern Sweden (Norrland),http://www.skiresort.info/ski-resort/abisko/,900.0,0.0,0.0,2.0,,,0.0,,,0,0,0,-,1.4,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
aboda-klint-hoegsby,Europe,Sweden,South Sweden (Sydsverige),http://www.skiresort.info/ski-resort/aboda-klint-hoegsby/,170.0,2.1,1.0,0.0,,,,,,140,0,80,Swedish krona,,,,,,,,,,,,,,,,,,,,,,,,,
abries,Europe,France,Provence-Alpes-Cote d'Azur,http://www.skiresort.info/ski-resort/abries/,2450.0,15.0,15.0,3.0,,,0.0,0.0,,28.50,0,23.40,European Euro,2.9,3.1,2.9,,,,,,,,,,,,,,,,,0.0,,,,,
abzakovo,Russia,Volga Federal District,Bashkortostan,http://www.skiresort.info/ski-resort/abzakovo/,1170.0,8.0,6.0,1.0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
ackers-outdoor-activity-centre,Europe,United Kingdom,England,http://www.skiresort.info/ski-resort/ackers-outdoor-activity-centre/,120.0,0.2,0.0,0.0,,,,0.0,,30,0,25,UK Pound,1.0,1.0,1.5,,,,,,,,,,,,,,,,,,,,,,
across-shigenobu,Asia,Japan,Shikoku,http://www.skiresort.info/ski-resort/across-shigenobu/,70.0,0.1,0.0,0.0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
adamants,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/adamants/,3100.0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,0.0,
adanac-ski-hill,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/adanac-ski-hill/,340.0,1.3,0.6,0.1,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,0.0,,,,
